"name","country","pop"
"Severodvinsk","Russia","194292"
"Portsmouth","United Kingdom","194150"
"Newcastle upon Tyne","United Kingdom","192382"
"Klaipeda","Lithuania","192307"
"Zabrze","Poland","192177"
"Zlatoust","Russia","191366"
"Cork","Ireland","190384"
"Vantaa","Finland","190058"
"Syzran'","Russia","189338"
"Bytom","Poland","189186"
"Almeria","Spain","188810"
"Sutton","United Kingdom","187600"
"Petropavlovsk-Kamchatsky","Russia","187282"
"Trieste","Italy","187056"
"Donaustadt","Austria","187007"
"Leganes","Spain","186066"
"Le Havre","France","185972"
"Swindon","United Kingdom","185609"
"San Sebastian","Spain","185357"
"Mainz","Germany","184997"
"Brescia","Italy","184826"
"Geneve","Switzerland","183981"
"Cergy-Pontoise","France","183430"
"Sants-Montjuic","Spain","183120"
"Santander","Spain","182700"
"Liege","Belgium","182597"
"Kamensk-Ural'skiy","Russia","182500"
"Prato","Italy","181820"
"Saarbruecken","Germany","181227"
"Groningen","Netherlands","181194"
"Taranto","Italy","181082"
"Crawley","United Kingdom","180508"
"Castello de la Plana","Spain","180005"
"Yasenevo","Russia","180000"
"Praga Poludnie","Poland","179836"
"Podolsk","Russia","179400"
"Hamm","Germany","178967"
"Burgos","Spain","178966"
"Amadora","Portugal","178858"
"Ipswich","United Kingdom","178835"
"Bielsko-Biala","Poland","176515"
"Yuzhno-Sakhalinsk","Russia","176484"
"Almere Stad","Netherlands","176432"
"Split","Croatia","176314"
"Saint-Etienne","France","176280"
"Turku","Finland","175945"
"Wigan","United Kingdom","175405"
"Croydon","United Kingdom","173314"
"Miskolc","Hungary","172637"
"Walsall","United Kingdom","172141"
"Herne","Germany","172108"
"Lyublino","Russia","172000"
"Mansfield","United Kingdom","171958"
"Olsztyn","Poland","171803"
"Bacau","Romania","171396"
"Oxford","United Kingdom","171380"
"Muelheim","Germany","170921"
"Albacete","Spain","169716"
"Reggio Calabria","Italy","169140"
"Arad","Romania","169065"
"Baranovichi","Belarus","168772"
"Toulon","France","168701"
"Angers","France","168279"
"Horta-Guinardo","Spain","168092"
"Patra","Greece","168034"
"Alcorcon","Spain","167967"
"Berezniki","Russia","167748"
"Volgodonsk","Russia","167731"
"Breda","Netherlands","167673"
"Pitesti","Romania","167669"
"Miass","Russia","167500"
"Abakan","Russia","167289"
"Neukoelln","Germany","167248"
"Getafe","Spain","167164"
"Novocherkassk","Russia","166974"
"Osnabrueck","Germany","166462"
"Nou Barris","Spain","166310"
"Warrington","United Kingdom","165456"
"Szeged","Hungary","164883"
"Basel","Switzerland","164488"
"Zenica","Bosnia and Herzegovina","164423"
"Solingen","Germany","164359"
"Pilsen","Czech Republic","164180"
"Nazran'","Russia","164131"
"Slough","United Kingdom","163777"
"Piraeus","Greece","163688"
"Bournemouth","United Kingdom","163600"
"Peterborough","United Kingdom","163379"
"Ludwigshafen am Rhein","Germany","163196"
"Floridsdorf","Austria","162779"
"Leverkusen","Germany","162738"
"Hortaleza","Spain","161661"
"Rubtsovsk","Russia","161065"
"Anderlecht","Belgium","160553"
"Mytishchi","Russia","160542"
"Salavat","Russia","159893"
"Oldenburg","Germany","159218"
"Bibirevo","Russia","159000"
"Khoroshevo-Mnevniki","Russia","159000"
"Modena","Italy","158886"
"Nijmegen","Netherlands","158732"
"Grenoble","France","158552"
"Cambridge","United Kingdom","158434"
"Rzeszow","Poland","158382"
"Doncaster","United Kingdom","158141"
"Gol'yanovo","Russia","158000"
"Admiralteisky","Russia","157897"
"San Blas-Canillejas","Spain","157367"
"Ussuriysk","Russia","157068"
"Tiraspol","Moldova","157000"
"Pecs","Hungary","156649"
"Ruse","Bulgaria","156238"
"Salamanca","Spain","155619"
